,Name,Dog
197,baiya,1
198,baker,1
199,balo,1
200,baloo,1
201,balto,1
202,bam,1
203,bambi,1
204,bamboo,1
205,bandit,1
206,bane,1
207,banjo,1
208,bara,1
209,barclay,1
210,barf,1
211,barkely,1
212,barkley,1
213,barkus,1
214,barley,1
215,barnaby,1
216,barney,1
217,baron,1
218,barracuda,1
219,barret,1
220,barrett,1
221,barron,1
222,barry,1
223,bart,1
224,bartlett,1
225,bas,1
226,basil,1
227,basker,1
228,basko,1
229,batman,1
230,bauer,1
231,baxter,1
232,baya,1
233,bayla,1
234,baylee,1
235,bb,1
236,bea,1
237,beamer,1
238,bean,1
239,beanie,1
240,beans,1
241,beansidhe,1
242,bear,1
243,bearcoot,1
244,beast,1
245,beatrix,1
246,beau,1
247,beaufort,1
248,beauregard,1
249,beauti,1
250,beaver,1
251,beba,1
252,bebe,1
253,beca,1
254,becka,1
255,becker,1
256,becky,1
257,bee,1
258,beef,1
259,beefcake,1
260,beemo,1
261,beerus,1
262,beetle,1
263,beevie,1
264,bell,1
265,bella,1
266,belladona,1
267,bellah,1
268,bellatrix,1
269,belle,1
270,belvedere,1
271,ben,1
272,benelli,1
273,benito,1
274,benjamin,1
275,benji,1
276,benne,1
277,bennett,1
278,bennie,1
279,benny,1
280,benson,1
281,bentley,1
282,bently,1
283,beorn,1
284,beowulf,1
285,beren,1
286,beretta,1
287,bergeron,1
288,bernard,1
289,bernie,1
290,bernoulli,1
291,berry,1
292,bert,1
293,bertie,1
294,bertuzzi,1
295,besito,1
296,bessa,1
297,bessie,1
298,beta,1
299,betsy,1
300,bettles,1
301,betty,1
302,bex,1
303,beyla,1
304,bhelin,1
305,bianca,1
306,bibi,1
307,biesen,1
308,big,1
309,biggie,1
310,biggs,1
311,bijou,1
312,biko,1
313,bill,1
314,billy,1
315,bindi,1
316,bingo,1
317,bink,1
318,bino,1
319,biscuit,1
320,bishop,1
321,bisket,1
322,bitsy,1
323,bitzer,1
324,bj,1
325,bjorn,1
326,black,1
327,blackie,1
328,blackjack,1
329,blacky,1
330,blake,1
331,blanca,1
332,blanco,1
333,blaze,1
334,blessing,1
335,bleu,1
336,bling,1
337,blinkey,1
338,blitz,1
339,blitzen,1
340,blizzard,1
341,blondie,1
342,blossom,1
343,blu,1
344,blue,1
345,blueberry,1
346,bo,1
347,boaz,1
348,bob,1
349,boba,1
350,bobbi,1
351,bobby,1
352,bobo,1
353,bocephus,1
354,bodak,1
355,bode,1
356,bodee,1
357,bodey,1
358,bodhi,1
359,bodi,1
360,bodie,1
361,bodybag,1
362,bogey,1
363,bogie,1
364,bojangles,1
365,bolt,1
366,bomber,1
367,bond,1
368,bones,1
369,bonita,1
370,bonnie,1
371,bonsai,1
372,boo,1
373,booboo,1
374,boogie,1
375,boogle,1
376,boojo,1
377,boomer,1
378,boone,1
379,boots,1
380,bootsie,1
381,boozie,1
382,bora,1
383,boria,1
384,boris,1
385,bosco,1
386,boshko,1
387,boss,1
388,bossy,1
389,boulder,1
390,bowee,1
391,bowen,1
392,bowmore,1
393,bowser,1
394,braaap,1
395,braddah,1
396,braddock,1
397,bradley,1
398,brady,1
399,brae,1
400,bram,1
401,brandee,1
402,brandi,1
403,brandilynn,1
404,brando,1
405,brandy,1
406,braum,1
407,brave,1
408,braya,1
409,brazen,1
410,breck,1
411,bree,1
412,breeze,1
413,breezy,1
414,brenda,1
415,brenin,1
416,brenner,1
417,brew,1
418,brewski,1
419,breyla,1
420,bria,1
421,brian,1
422,briana,1
423,bridger,1
424,bridget,1
425,bridgette,1
426,brindi,1
427,brindle,1
428,brio,1
429,briosca,1
430,bristol,1
431,brock,1
432,broddi,1
433,brodie,1
434,brody,1
435,brogan,1
436,bron,1
437,bronius,1
438,bronson,1
439,brook,1
440,brooklyn,1
441,brooks,1
442,brooster,1
443,broseph,1
444,brown,1
445,brownie,1
446,browzer,1
447,bruce,1
448,bruiser,1
449,brujah,1
450,brundi,1
451,bruno,1
452,brush,1
453,brutus,1
454,bruzer,1
455,bryce,1
456,bryndle,1
457,brynn,1
458,buba,1
459,bubba,1
460,bubblez,1
461,bubby,1
462,buck,1
463,buckaroo,1
464,bucket,1
465,buckley,1
466,buckshot,1
467,bucky,1
468,bud,1
469,buddah,1
470,buddha,1
471,buddy,1
472,bueller,1
473,buffy,1
474,bug,1
475,bugs,1
476,bugsby,1
477,bugsy,1
478,bukum,1
479,bullet,1
480,bullitt,1
481,bunkie,1
482,bunky,1
483,bunta,1
484,buoy,1
485,burberry,1
486,burke,1
487,burly,1
488,burner,1
489,burt,1
490,burton,1
491,bushido,1
492,buster,1
493,busy,1
494,butch,1
495,butcher,1
496,butkus,1
497,butter,1
498,buttercup,1
499,butters,1
500,butterscotch,1
501,buttons,1
502,buxton,1
503,buzz,1
504,byron,1
505,cabanna,1
506,cabo,1
507,cache,1
508,cacy,1
509,caden,1
510,caesar,1
511,caicos,1
512,cailou,1
513,cairo,1
514,caite,1
515,calamity,1
516,cali,1
517,callahan,1
518,callaway,1
519,callie,1
520,cally,1
521,calvin,1
522,calypso,1
523,camberlynn,1
524,camden,1
525,cami,1
526,camille,1
527,camper,1
528,candace,1
529,candy,1
530,cane,1
531,canisa,1
532,cannon,1
533,canyon,1
534,capone,1
535,cappuccino,1
536,captain,1
537,cara,1
538,caramel,1
539,carbon,1
540,cardhu,1
541,cardi,1
542,carina,1
543,carl,1
544,carlie,1
545,carlos,1
546,carly,1
547,carmello,1
548,carrie,1
549,carson,1
550,cascade,1
551,casey,1
552,cash,1
553,casie,1
554,caslow,1
555,casper,1
556,caspian,1
557,cass,1
558,cassi,1
559,cassidy,1
560,cassie,1
561,cat,1
562,catherine,1
563,ceasar,1
564,ceaser,1
565,cece,1
566,ceci,1
567,cecil,1
568,cecilia,1
569,cedar,1
570,ceecee,1
571,ceiba,1
572,celie,1
573,cello,1
574,cesar,1
575,cezar,1
576,chacha,1
577,chaco,1
578,chad,1
579,chaga,1
580,chahta,1
581,chai,1
582,chaka,1
583,chako,1
584,champ,1
585,champion,1
586,chance,1
587,chancey,1
588,chandler,1
589,chanel,1
590,chaos,1
591,chapo,1
592,chappie,1
593,charlamagne,1
594,charlee,1
595,charley,1
596,charli,1
597,charlie,1
598,charliebrown,1
599,charliee,1
600,charlotte,1
601,charly,1
602,charmin,1
603,charolette,1
604,chase,1
605,chauncey,1
606,chay,1
607,chaya,1
608,chazz,1
609,cheeky,1
610,cheena,1
611,cheetah,1
612,cheeto,1
613,cheif,1
614,chelsea,1
615,chelsey,1
616,chena,1
617,chenega,1
618,cheri,1
619,cherizo,1
620,chernobyl,1
621,cherokee,1
622,cherry,1
623,chester,1
624,chevy,1
625,chevyel,1
626,chewawa,1
627,chewbaca,1
628,chewbacca,1
629,chewbarka,1
630,chewbella,1
631,chewey,1
632,chewie,1
633,chewy,1
634,cheyenne,1
635,chi,1
636,chiana,1
637,chibi,1
638,chica,1
639,chicago,1
640,chichi,1
641,chick,1
642,chickadee,1
643,chico,1
644,chicory,1
645,chief,1
646,chignik,1
647,chika,1
648,chile,1
649,chili,1
650,chilie,1
651,chilli,1
652,ching,1
653,chingiz,1
654,chinnok,1
655,chinobi,1
656,chinook,1
657,chinta,1
658,chio,1
659,chip,1
660,chips,1
661,chiquita,1
662,chitu,1
663,chloe,1
664,chocco,1
665,chocho,1
666,choco,1
667,chocolat,1
668,cholo,1
669,chomper,1
670,choncho,1
671,chook,1
672,chop,1
673,chopper,1
674,chorizo,1
675,choza,1
676,chris,1
677,chrissy,1
678,chubbers,1
679,chubbs,1
680,chubs,1
681,chucho,1
682,chuck,1
683,chue,1
684,chugi,1
685,chula,1
686,chump,1
687,chums,1
688,chunk,1
689,chunky,1
690,churro,1
691,chuy,1
692,ciara,1
693,cicero,1
694,cici,1
695,cider,1
696,cidlee,1
697,cidley,1
698,cinch,1
699,cinder,1
700,cindy,1
701,cinnamon,1
702,cinny,1
703,ciri,1
704,cisco,1
705,claire,1
706,clairee,1
707,clam,1
708,clark,1
709,clay,1
710,cleastwood,1
711,cleco,1
712,clementine,1
713,cleo,1
714,cleopatra,1
715,cletus,1
716,clide,1
717,clifford,1
718,clover,1
719,clutch,1
720,clyde,1
721,co,1
722,coach,1
723,coal,1
724,coalby,1
725,coast,1
726,coaty,1
727,cobalt,1
728,cochise,1
729,coco,1
730,cocoa,1
731,coda,1
732,cody,1
733,coffee,1
734,coho,1
735,colby,1
736,cole,1
737,collis,1
738,colt,1
739,comet,1
740,cookie,1
741,cooper,1
742,coosa,1
743,coota,1
744,copa,1
745,copper,1
746,coqui,1
747,cora,1
748,corby,1
749,cordelia,1
750,corey,1
751,corky,1
752,corona,1
753,corporal,1
754,corwin,1
755,cosa,1
756,cosma,1
757,cosmo,1
758,cotton,1
759,cougar,1
760,couver,1
761,couverden,1
762,covey,1
763,cowboy,1
764,cowgirl,1
765,cozy,1
766,cozzy,1
767,crackers,1
768,crash,1
769,cricket,1
770,crissy,1
771,crouton,1
772,crowley,1
773,cruiser,1
774,crunch,1
775,crush,1
776,cruz,1
777,cruzier,1
778,crystal,1
779,cubby,1
780,cuddie,1
781,cuddles,1
782,cuddy,1
783,cuervo,1
784,cujo,1
785,cupcake,1
786,currie,1
787,curtis,1
788,cutie,1
789,cutter,1
790,cybil,1
791,cylus,1
792,cynder,1
793,cyrus,1
794,dae,1
795,daevu,1
796,daffy,1
797,dagan,1
798,dagger,1
799,dagny,1
800,dahndi,1
801,daisey,1
802,daisy,1
803,dajak,1
804,dakoda,1
805,dakota,1
806,dalai,1
807,dallas,1
808,damu,1
809,dandelion,1
810,danger,1
811,dani,1
812,danielle,1
813,danikis,1
814,danner,1
815,danny,1
816,daphne,1
817,dapper,1
818,darby,1
819,darcie,1
820,darcy,1
821,darius,1
822,darlington,1
823,darth,1
824,darwin,1
825,dash,1
826,dasha,1
827,dasher,1
828,daubi,1
829,dave,1
830,davinchy,1
831,davos,1
832,davros,1
833,dawson,1
834,dax,1
835,day,1
836,dayna,1
837,dayton,1
838,dayz,1
839,dazzle,1
840,dean,1
841,decker,1
842,declan,1
843,dee,1
844,deedee,1
845,deeohgee,1
846,deeva,1
847,deezle,1
848,degory,1
849,dehavilland,1
850,deigo,1
851,deisel,1
852,deke,1
853,del,1
854,delanie,1
855,delilah,1
856,deliliah,1
857,delko,1
858,della,1
859,delta,1
860,delya,1
861,demi,1
862,demon,1
863,dempsey,1
864,denahi,1
865,denali,1
866,deneki,1
867,derby,1
868,derpy,1
869,deschutes,1
870,deshka,1
871,desi,1
872,desna,1
873,dessa,1
874,destiny,1
875,detroit,1
876,deuce,1
877,devon,1
878,dewbee,1
879,dewey,1
880,dewie,1
881,dewy,1
882,dex,1
883,dexter,1
884,dharma,1
885,diamond,1
886,diana,1
887,dibs,1
888,dice,1
889,diddles,1
890,diddley,1
891,diego,1
892,diesel,1
893,diez,1
894,digger,1
895,digong,1
896,dillnger,1
897,dillon,1
898,dime,1
899,dina,1
900,dinah,1
901,ding,1
902,dingo,1
903,dino,1
904,diones,1
905,dipper,1
906,dirk,1
907,dirtie,1
908,disco,1
909,disney,1
910,ditto,1
911,diva,1
912,diver,1
913,dixa,1
914,dixie,1
915,dixon,1
916,dizzy,1
917,dj,1
918,django,1
919,dobby,1
920,doc,1
921,dodger,1
922,dog,1
923,doglas,1
924,dogmeat,1
925,doja,1
926,doji,1
927,dolce,1
928,dolche,1
929,dolla,1
930,dolly,1
931,domino,1
932,dominus,1
933,donner,1
934,donni,1
935,donovan,1
936,doobie,1
937,dooby,1
938,doodle,1
939,doogan,1
940,dooley,1
941,doozer,1
942,doozey,1
943,dora,1
944,dori,1
945,dorie,1
946,dory,1
947,dot,1
948,dottie,1
949,doug,1
950,dougal,1
951,doughnut,1
952,dougie,1
953,douglas,1
954,dozer,1
955,dozzer,1
956,draco,1
957,dragon,1
958,drake,1
959,drako,1
960,dranzer,1
961,dream,1
962,dred,1
963,dregger,1
964,droopy,1
965,druid,1
966,dubs,1
967,duchess,1
968,duck,1
969,duckey,1
970,duct,1
971,dude,1
972,dudley,1
973,duffy,1
974,dugan,1
975,dugas,1
976,duke,1
977,dulce,1
978,dunai,1
979,duncan,1
980,dunzo,1
981,durango,1
982,dusty,1
983,dutch,1
984,dutchess,1
985,dyggur,1
986,dylan,1
987,dyllon,1
988,dylo,1
989,dyna,1
990,easton,1
991,ebba,1
992,ebert,1
993,ebi,1
994,ebony,1
995,echo,1
996,eclair,1
997,eddie,1
998,edison,1
999,edna,1
1000,edward,1
1001,eeshan,1
1002,eetsa,1
1003,eevee,1
1004,eggnog,1
1005,ehu,1
1006,eiffel,1
1007,eight,1
1008,eileen,1
1009,ein,1
1010,einstein,1
1011,eisen,1
1012,eklutna,1
1013,elbe,1
1014,ele,1
1015,eleanor,1
1016,eleu,1
1017,elgin,1
1018,eli,1
1019,elijah,1
1020,elizabeth,1
1021,elke,1
1022,ella,1
1023,ellera,1
1024,elli,1
1025,ellie,1
1026,elliot,1
1027,elliott,1
1028,ellsa,1
1029,elly,1
1030,elmo,1
1031,elo,1
1032,eloise,1
1033,elphaba,1
1034,elsa,1
1035,elsie,1
1036,elsu,1
1037,elvin,1
1038,elvis,1
1039,elway,1
1040,ember,1
1041,emillie,1
1042,emily,1
1043,emma,1
1044,emmet,1
1045,emmett,1
1046,emmitt,1
1047,emmy,1
1048,enew,1
1049,enuj,1
1050,enzo,1
1051,eowyn,1
1052,equinox,1
1053,eris,1
1054,ernie,1
1055,errow,1
1056,eska,1
1057,esker,1
1058,espicky,1
1059,espin,1
1060,essie,1
1061,ester,1
1062,estrella,1
1063,etta,1
1064,euro,1
1065,eva,1
1066,eve,1
1067,everest,1
1068,evie,1
1069,evo,1
1070,evvie,1
1071,ezekiel,1
1072,faded,1
1073,fairbanks,1
1074,faith,1
1075,falco,1
1076,falcor,1
1077,falkor,1
1078,fancy,1
1079,fang,1
1080,fangsie,1
1081,farley,1
1082,farrah,1
1083,fatboy,1
1084,faukxie,1
1085,faust,1
1086,faustino,1
1087,feena,1
1088,felix,1
1089,fen,1
1090,fenway,1
1091,ferdinand,1
1092,fergus,1
1093,fern,1
1094,ferret,1
1095,fezzik,1
1096,fido,1
1097,fieka,1
1098,fifi,1
1099,fig,1
1100,finch,1
1101,finlay,1
1102,finley,1
1103,finn,1
1104,finnegan,1
1105,finnigan,1
1106,fiona,1
1107,firn,1
1108,fischer,1
1109,fishbones,1
1110,fisher,1
1111,fitz,1
1112,fitzgerald,1
1113,fiyero,1
1114,fizzigig,1
1115,flaca,1
1116,flag,1
1117,flapjack,1
1118,flash,1
1119,fletcher,1
1120,flicka,1
1121,flint,1
1122,flintstone,1
1123,flip,1
1124,flopper,1
1125,flossie,1
1126,flower,1
1127,floyd,1
1128,fluffy,1
1129,fly,1
1130,flynn,1
1131,ford,1
1132,forrest,1
1133,forte,1
1134,fosbury,1
1135,foster,1
1136,fox,1
1137,foxy,1
1138,francesca,1
1139,francis,1
1140,franco,1
1141,francois,1
1142,frank,1
1143,frankenstein,1
1144,frankie,1
1145,franklin,1
1146,frannie,1
1147,franny,1
1148,frasier,1
1149,freckles,1
1150,fred,1
1151,freddie,1
1152,freddy,1
1153,fredy,1
1154,freedom,1
1155,freeway,1
1156,freida,1
1157,freya,1
1158,freyja,1
1159,frezno,1
1160,frida,1
1161,friday,1
1162,fritz,1
1163,frodo,1
1164,frost,1
1165,frostie,1
1166,frosty,1
1167,fry,1
1168,fudge,1
1169,fuji,1
1170,fujita,1
1171,furbee,1
1172,fury,1
1173,fuzzy,1
1174,fyrne,1
1175,g,1
1176,gabby,1
1177,gabe,1
1178,gabriella,1
1179,gadget,1
1180,gage,1
1181,gaia,1
1182,gail,1
1183,galan,1
1184,galaxy,1
1185,galena,1
1186,gambit,1
1187,ganda,1
1188,gandalf,1
1189,gary,1
1190,gateway,1
1191,gatorr,1
1192,gatsby,1
1193,gauge,1
1194,gauru,1
1195,gedeon,1
1196,gemini,1
1197,gemma,1
1198,gemmy,1
1199,geneva,1
1200,genevieve,1
1201,geno,1
1202,geo,1
1203,george,1
1204,georgette,1
1205,georgia,1
1206,georgie,1
1207,gergia,1
1208,gertie,1
1209,gerty,1
1210,ghandi,1
1211,ghost,1
1212,giant,1
1213,gibbs,1
1214,gibson,1
1215,gideon,1
1216,gidget,1
1217,gigi,1
1218,gil,1
1219,gilligan,1
1220,gimli,1
1221,gina,1
1222,ginger,1
1223,gingin,1
1224,ginjay,1
1225,ginny,1
1226,ginsberg,1
1227,ginzee,1
1228,giovanni,1
1229,girdy,1
1230,girl,1
1231,girly,1
1232,gizmo,1
1233,glacier,1
1234,glados,1
1235,gladyz,1
1236,glen,1
1237,glizzy,1
1238,glory,1
1239,gnarly,1
1240,gnash,1
1241,goat,1
1242,goblin,1
1243,godiva,1
1244,gogi,1
1245,gogo,1
1246,gohan,1
1247,goku,1
1248,goldie,1
1249,golfball,1
1250,goliath,1
1251,gonzo,1
1252,goober,1
1253,gooey,1
1254,goofy,1
1255,goon,1
1256,goose,1
1257,gordo,1
1258,gordon,1
1259,gordy,1
1260,gorgeous,1
1261,gorgonzola,1
1262,gorgy,1
1263,gorou,1
1264,gotti,1
1265,gouda,1
1266,grace,1
1267,graciann,1
1268,gracie,1
1269,grady,1
1270,graham,1
1271,granite,1
1272,gravy,1
1273,great,1
1274,greta,1
1275,gretta,1
1276,grevious,1
1277,greyce,1
1278,greyson,1
1279,griffen,1
1280,griffey,1
1281,griffin,1
1282,grim,1
1283,grimm,1
1284,griz,1
1285,grizlee,1
1286,grizz,1
1287,grizzly,1
1288,grizzy,1
1289,gromit,1
1290,grommet,1
1291,groot,1
1292,grover,1
1293,grumble,1
1294,gryffin,1
1295,gryffindor,1
1296,guapo,1
1297,guardian,1
1298,guarrys,1
1299,gucci,1
1300,guinea,1
1301,guiness,1
1302,guinness,1
1303,gully,1
1304,gumbo,1
1305,gunnar,1
1306,gunner,1
1307,gunny,1
1308,gunter,1
1309,gunther,1
1310,gus,1
1311,gussy,1
1312,gustavo,1
1313,guy,1
1314,gwenivere,1
1315,gwynn,1
1316,gypsy,1
1317,haaheo,1
1318,hadies,1
1319,hadley,1
1320,hagen,1
1321,haggis,1
1322,hailey,1
1323,haku,1
1324,halle,1
1325,halley,1
1326,hallie,1
1327,halo,1
1328,hamilton,1
1329,hamish,1
1330,hamlet,1
1331,hammer,1
1332,hammond,1
1333,handsome,1
1334,hank,1
1335,hanna,1
1336,hannah,1
1337,hannibal,1
1338,hans,1
1339,hansel,1
1340,hanzo,1
1341,happy,1
1342,harky,1
1343,harley,1
1344,harlie,1
1345,harlow,1
1346,harmon,1
1347,harmony,1
1348,harold,1
1349,harp,1
1350,harper,1
1351,harriett,1
1352,harrison,1
1353,harry,1
1354,harvee,1
1355,harvey,1
1356,hatcher,1
1357,hathor,1
1358,hava,1
1359,havoc,1
1360,hawkeye,1
1361,hawley,1
1362,hayden,1
1363,hayduke,1
1364,haylee,1
1365,hazard,1
1366,haze,1
1367,hazel,1
1368,hazey,1
1369,healy,1
1370,heather,1
1371,hector,1
1372,heidi,1
1373,heidie,1
1374,heiress,1
1375,helena,1
1376,helios,1
1377,hemishmcduff,1
1378,hendricks,1
1379,hendrix,1
1380,heney,1
1381,henna,1
1382,hennessy,1
1383,henrey,1
1384,henry,1
1385,hera,1
1386,herbie,1
1387,hercules,1
1388,hereford,1
1389,herman,1
1390,hermes,1
1391,hermione,1
1392,hero,1
1393,hershey,1
1394,higgs,1
1395,himmel,1
1396,hiro,1
1397,hitch,1
1398,hito,1
1399,hoagey,1
1400,hobbes,1
1401,hobbs,1
1402,hobie,1
1403,hobo,1
1404,hodie,1
1405,hoji,1
1406,hokie,1
1407,hokulani,1
1408,holly,1
1409,hollywood,1
1410,homer,1
1411,hondo,1
1412,honey,1
1413,honeybear,1
1414,honeysuckle,1
1415,hooch,1
1416,hoodie,1
1417,hooper,1
1418,hootch,1
1419,hoover,1
1420,hope,1
1421,hopper,1
1422,hopps,1
1423,hops,1
1424,horchata,1
1425,hornsby,1
1426,horst,1
1427,hoss,1
1428,hothar,1
1429,hound,1
1430,howie,1
1431,hubert,1
1432,huck,1
1433,huckleberry,1
1434,hudson,1
1435,huehue,1
1436,huey,1
1437,hugo,1
1438,hundley,1
1439,hunee,1
1440,hunny,1
1441,hunter,1
1442,hurley,1
1443,hushe,1
1444,husker,1
1445,hustler,1
1446,hutch,1
1447,huxley,1
1448,hyoja,1
1449,hyori,1
1450,hythy,1
1451,icarus,1
1452,ice,1
1453,icee,1
1454,ichiro,1
1455,icis,1
1456,icy,1
1457,ida,1
1458,iggy,1
1459,igneus,1
1460,igor,1
1461,ikaika,1
1462,ike,1
1463,ila,1
1464,ilannaq,1
1465,iliamna,1
1466,illa,1
1467,indi,1
1468,indian,1
1469,indiana,1
1470,indie,1
1471,indigo,1
1472,indy,1
1473,infinitey,1
1474,ingrid,1
1475,inigo,1
1476,inky,1
1477,innoko,1
1478,inti,1
1479,inu,1
1480,iorek,1
1481,ira,1
1482,irie,1
1483,iris,1
1484,irma,1
1485,isa,1
1486,isabel,1
1487,isabella,1
1488,isabelle,1
1489,isadora,1
1490,ishta,1
1491,isis,1
1492,iskut,1
1493,isla,1
1494,isobel,1
1495,itachi,1
1496,itchigo,1
1497,itchy,1
1498,ivan,1
1499,iver,1
1500,ivory,1
1501,ivy,1
1502,izabel,1
1503,izee,1
1504,izzabella,1
1505,izzi,1
1506,izzie,1
1507,izzy,1
1508,jabba,1
1509,jabber,1
1510,jables,1
1511,jack,1
1512,jackie,1
1513,jackson,1
1514,jacob,1
1515,jacopo,1
1516,jacques,1
1517,jada,1
1518,jade,1
1519,jaden,1
1520,jaeger,1
1521,jager,1
1522,jagger,1
1523,jago,1
1524,jaja,1
1525,jak,1
1526,jake,1
1527,jaku,1
1528,james,1
1529,jameson,1
1530,jamison,1
1531,jane,1
1532,jango,1
1533,janie,1
1534,jarvis,1
1535,jasmin,1
1536,jasmine,1
1537,jasper,1
1538,jax,1
1539,jaxon,1
1540,jaxx,1
1541,jaxy,1
1542,jay,1
1543,jayda,1
1544,jayjay,1
1545,jaylyn,1
1546,jaytee,1
1547,jazmine,1
1548,jazz,1
1549,jazzabel,1
1550,jazzalynn,1
1551,jazzie,1
1552,jazzmin,1
1553,jazzy,1
1554,jb,1
1555,jd,1
1556,jearek,1
1557,jeb,1
1558,jebediah,1
1559,jedi,1
1560,jeep,1
1561,jeffrey,1
1562,jekk,1
1563,jelly,1
1564,jemma,1
1565,jeni,1
1566,jenna,1
1567,jenny,1
1568,jerry,1
1569,jersey,1
1570,jesper,1
1571,jess,1
1572,jesse,1
1573,jessi,1
1574,jessica,1
1575,jessie,1
1576,jet,1
1577,jeter,1
1578,jethro,1
1579,jett,1
1580,jewel,1
1581,jewels,1
1582,jezabelle,1
1583,jezebel,1
1584,jiffy,1
1585,jill,1
1586,jillian,1
1587,jimmy,1
1588,jingle,1
1589,jingles,1
1590,jinks,1
1591,jinx,1
1592,jinxie,1
1593,jiputa,1
1594,jirou,1
1595,jj,1
1596,jjin,1
1597,joanie,1
1598,jobu,1
1599,jocko,1
1600,jodi,1
1601,jodiee,1
1602,joe,1
1603,joey,1
1604,john,1
1605,johnny,1
1606,jojo,1
1607,joker,1
1608,jolene,1
1609,jolie,1
1610,jolly,1
1611,jolt,1
1612,jonathan,1
1613,jones,1
1614,joni,1
1615,jordan,1
1616,jose,1
1617,josephine,1
1618,josie,1
1619,joy,1
1620,joyful,1
1621,jp,1
1622,jubil,1
1623,jubilee,1
1624,jude,1
1625,judge,1
1626,judy,1
1627,juenau,1
1628,jugernaut,1
1629,juice,1
1630,juju,1
1631,jules,1
1632,julia,1
1633,julie,1
1634,juliet,1
1635,julius,1
1636,june,1
1637,juneau,1
1638,junebug,1
1639,junie,1
1640,junior,1
1641,juniper,1
1642,juno,1
1643,jupiter,1
1644,justine,1
1645,justy,1
1646,kaala,1
1647,kadee,1
1648,kahana,1
1649,kahlessi,1
1650,kahlua,1
1651,kahn,1
1652,kahntu,1
1653,kai,1
1654,kaia,1
1655,kaialani,1
1656,kaida,1
1657,kaikea,1
1658,kailua,1
1659,kainani,1
1660,kaipo,1
1661,kaiser,1
1662,kaisha,1
1663,kaisie,1
1664,kaiya,1
1665,kaizer,1
1666,kakko,1
1667,kaksi,1
1668,kala,1
1669,kali,1
1670,kaliah,1
1671,kalina,1
1672,kalista,1
1673,kalli,1
1674,kallie,1
1675,kaluula,1
1676,kamea,1
1677,kamora,1
1678,kanalaaq,1
1679,kanani,1
1680,kandor,1
1681,kane,1
1682,kanga,1
1683,kangaroo,1
1684,kano,1
1685,kanu,1
1686,kanuti,1
1687,kanye,1
1688,kaos,1
1689,kappa,1
1690,kappy,1
1691,karl,1
